NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
24;2019;3;20;9;1;2;13;1;2;N;N;4;3;1;4;N;;;;;;;1;02;9;02;4;2;5;0;1;131.6823
24;2019;3;20;9;1;1;07;1;3;N;N;4;3;1;4;N;;;;;;;1;02;7;02;3;;;0;3;183.2338
25;2019;3;20;9;1;1;16;1;1;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;1;109.8502
26;2019;3;48;9;1;1;13;1;3;N;N;4;2;2;4;N;;;;;;;1;02;2;09;4;2;5;0;1;178.2483
27;2019;3;20;3;6;3;11;1;2;N;N;4;1;2;2;N;;;;;;;1;02;9;10;4;2;1;20;1;126.1041
27;2019;3;20;3;1;3;11;2;2;N;N;4;2;2;2;N;;;;;;;1;02;9;08;4;2;5;31;4;135.7573
27;2019;3;20;3;6;2;07;1;3;N;N;4;1;2;3;N;;;;;;;1;02;9;08;4;2;1;0;4;170.3126
27;2019;3;20;3;1;3;07;1;2;N;N;4;1;1;2;N;;;;;;;1;02;9;08;4;2;1;40;3;173.2711
28;2019;3;01;9;1;2;14;1;1;N;N;2;2;;;N;;;;;;;4;07;7;02;4;2;;;1;88.0782
28;2019;3;01;9;6;1;13;1;1;N;N;4;1;;;N;;;;;;;4;04;5;10;4;2;;;2;71.4811
29;2019;3;01;2;1;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;01;8;04;2;;;60;1;159.7823
29;2019;3;01;2;6;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;4;09;4;2;1;35;2;170.8547
30;2019;3;20;3;1;1;07;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;04;2;;;40;1;155.8581
31;2019;3;48;9;6;2;17;1;1;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;1;173.9281
32;2019;3;48;9;6;1;07;1;3;N;N;4;1;1;2;N;;;;;;;1;02;4;08;4;2;1;40;2;255.8119
32;2019;3;48;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;231.545
32;2019;3;48;9;1;1;07;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;04;5;;;40;1;294.2046
32;2019;3;48;9;6;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;233.4428
33;2019;3;01;2;1;1;09;1;2;N;N;4;1;1;2;N;;;;;;;1;03;7;03;2;;;8;1;191.6321
34;2019;3;48;9;1;1;08;1;3;N;N;4;1;1;4;N;;;;;;;1;02;2;03;4;2;1;28;1;261.0057
35;2019;3;01;9;1;1;10;1;2;N;N;4;2;1;2;N;;;;;;;1;02;8;02;4;2;1;40;1;37.3463
35;2019;3;01;9;6;3;09;2;3;N;N;4;1;1;2;N;;;;;;;1;02;9;10;4;2;1;40;2;43.0256
36;2019;3;48;1;1;1;12;1;3;N;N;4;1;1;5;N;;;;;;;1;02;5;09;4;1;1;32;1;178.3752
37;2019;3;48;1;6;3;10;2;3;N;N;4;1;;;S;6;2;S;04;4;S;2;05;9;10;4;2;;;2;374.8252
37;2019;3;48;1;6;1;01;1;;S;;;;;;;;;;;;;;;;;;;;;3;232.0129
37;2019;3;48;1;6;3;05;2;2;N;N;4;1;;;S;6;2;S;04;21;S;3;05;;;;;;;3;435.7352
37;2019;3;48;1;1;3;11;1;3;N;N;4;2;1;2;N;;;;;;;1;02;8;04;2;;;40;1;235.7402
38;2019;3;48;1;1;1;12;1;2;N;N;4;2;1;4;N;;;;;;;1;02;8;08;4;2;1;0;1;179.3817
