NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
1;2019;1;48;9;6;1;09;1;1;N;N;4;1;2;2;N;;;;;;;1;02;5;04;4;1;1;36;2;232.3627
1;2019;1;48;9;1;1;09;1;2;N;N;4;2;1;2;N;;;;;;;1;02;7;03;2;;;40;1;281.0868
2;2019;1;48;1;1;1;11;1;3;N;N;4;2;1;2;N;;;;;;;1;02;3;02;3;;;40;1;227.6262
2;2019;1;48;1;6;1;10;1;3;N;N;4;2;1;2;N;;;;;;;1;02;2;09;4;1;1;40;2;225.7685
2;2019;1;48;1;6;1;04;1;2;S;N;4;4;;;N;;;;;;;4;04;;;;;;;3;257.4672
2;2019;1;48;1;1;1;04;1;2;S;N;4;4;;;N;;;;;;;4;04;;;;;;;3;205.2883
3;2019;1;48;9;6;1;07;1;3;N;N;4;1;2;2;N;;;;;;;1;02;3;10;4;2;1;22;2;206.8759
3;2019;1;48;9;1;1;09;1;1;N;N;4;1;1;2;N;;;;;;;1;02;7;10;4;2;1;38;1;239.85
3;2019;1;48;9;1;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;200.231
4;2019;1;48;1;1;2;12;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;03;4;2;1;40;2;169.3938
4;2019;1;48;1;6;1;12;1;2;N;N;4;1;1;3;N;;;;;;;1;02;3;04;4;2;1;0;1;156.9537
5;2019;1;20;9;6;1;05;1;2;N;N;4;2;2;2;S;3;2;S;03;16;S;1;02;3;09;4;2;5;20;3;100.5979
5;2019;1;20;9;6;1;12;1;1;N;N;4;1;;;S;6;2;S;04;12;S;2;05;8;02;4;2;;;1;148.4534
5;2019;1;20;9;1;1;11;1;1;N;N;4;2;1;4;N;;;;;;;1;02;9;02;4;2;1;24;2;115.096
6;2019;1;48;9;1;1;14;1;2;N;N;2;2;;;N;;;;;;;4;07;2;09;4;2;;;1;154.5466
6;2019;1;48;9;6;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;2;09;4;2;;;2;162.1649
7;2019;1;20;3;6;2;12;1;1;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;1;40;1;112.217
7;2019;1;20;3;1;2;12;1;1;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;1;40;2;111.4475
8;2019;1;01;2;1;1;14;1;3;N;S;2;1;;;N;;;;;;;4;04;2;09;4;1;;;1;122.5001
8;2019;1;01;2;6;2;14;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;2;;;2;118.56
9;2019;1;01;2;6;2;16;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;161.0061
