NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
1;2019;4;01;2;6;1;18;1;1;N;N;4;4;;;N;;;;;;;4;07;9;10;4;2;;;1;157.756
2;2019;4;01;9;6;1;09;1;2;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;35;2;37.2694
2;2019;4;01;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;40.4994
2;2019;4;01;9;1;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;09;4;1;5;40;1;41.4777
2;2019;4;01;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;40.4994
3;2019;4;01;9;6;1;15;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;2;21.5366
3;2019;4;01;9;1;1;16;1;1;N;N;2;2;;;N;;;;;;;4;07;7;02;4;2;;;1;22.0309
4;2019;4;48;9;6;1;16;1;1;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;2;113.4035
4;2019;4;48;9;1;1;16;1;1;N;N;2;4;;;N;;;;;;;4;07;5;04;4;2;;;1;112.1469
5;2019;4;20;3;6;3;06;2;2;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;5;40;3;331.7538
5;2019;4;20;3;1;3;10;2;3;N;N;4;1;1;2;N;;;;;;;1;02;4;08;2;;;40;2;260.3335
5;2019;4;20;3;1;2;01;2;;S;;;;;;;;;;;;;;;;;;;;;4;193.5269
5;2019;4;20;3;6;3;11;2;3;N;N;4;1;1;2;N;;;;;;;1;02;1;08;2;;;40;1;228.9185
5;2019;4;20;3;1;2;01;2;;S;;;;;;;;;;;;;;;;;;;;;4;193.5269
5;2019;4;20;3;1;3;07;2;2;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;5;40;4;321.076
6;2019;4;48;1;1;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;2;08;2;;;30;1;196.5088
6;2019;4;48;1;6;1;11;1;3;N;N;4;1;1;4;N;;;;;;;1;02;1;08;4;2;1;28;2;202.4991
6;2019;4;48;1;1;1;04;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;183.3482
7;2019;4;01;2;6;1;16;1;3;N;N;4;1;;;N;;;;;;;4;04;2;09;4;2;;;1;158.837
8;2019;4;20;9;6;2;17;1;1;N;N;4;4;;;N;;;;;;;4;07;5;04;2;;;;2;120.9693
8;2019;4;20;9;1;2;17;1;1;N;N;2;4;;;N;;;;;;;4;07;1;04;4;2;;;1;113.887
9;2019;4;48;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;256.9221
9;2019;4;48;9;6;1;10;1;2;N;N;4;1;;;N;;;;;;;4;04;5;10;4;2;;;2;284.9832
9;2019;4;48;9;1;1;10;1;2;N;N;4;2;1;2;N;;;;;;;1;02;7;03;2;;;30;1;244.8914
9;2019;4;48;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;258.7378
10;2019;4;48;9;6;1;09;1;1;N;N;4;4;;;N;;;;;;;4;07;;;;;;;3;258.1494
10;2019;4;48;9;6;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;3;02;4;2;;;2;254.7041
10;2019;4;48;9;1;1;15;1;1;N;N;2;4;;;N;;;;;;;4;07;3;03;4;2;;;1;251.8817
11;2019;4;01;9;1;1;15;1;2;N;N;2;3;;;N;;;;;;;4;07;3;04;2;;;;1;68.0927
11;2019;4;01;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;4;51.0055
11;2019;4;01;9;6;1;10;1;3;N;S;4;1;;;S;6;2;S;07;0;S;2;05;4;02;4;2;;;3;50.9348
11;2019;4;01;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;4;51.0055
11;2019;4;01;9;6;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;04;2;;;40;3;54.3217
12;2019;4;01;9;6;1;09;1;1;N;N;4;1;1;4;N;;;;;;;1;02;9;02;4;2;1;0;1;58.2248
13;2019;4;01;9;6;1;14;1;1;N;N;2;1;;;N;;;;;;;4;04;6;01;2;;;;2;32.3186
13;2019;4;01;9;1;1;15;1;2;N;N;2;1;;;N;;;;;;;4;04;3;02;4;2;;;1;33.0604
14;2019;4;48;9;1;1;17;1;1;N;N;2;4;;;N;;;;;;;4;07;9;02;4;2;;;1;128.4326
14;2019;4;48;9;6;1;15;1;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;129.8717
14;2019;4;48;9;1;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;8;10;4;2;5;35;3;121.4626
15;2019;4;48;9;6;1;13;1;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;177.1288
15;2019;4;48;9;1;2;13;1;1;N;N;4;1;2;5;N;;;;;;;1;02;5;04;4;2;5;0;1;161.9417
16;2019;4;20;9;6;1;12;1;3;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;2;147.4967
16;2019;4;20;9;6;1;05;1;2;S;N;4;2;;;N;;;;;;;4;04;3;04;4;1;;;3;167.0375
16;2019;4;20;9;1;1;12;1;2;N;N;4;2;1;2;N;;;;;;;1;02;9;02;3;;;40;1;156.203
