NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
22;2019;2;20;9;6;3;08;2;3;N;S;4;1;2;4;S;4;2;S;09;90;S;1;02;5;04;4;2;1;24;4;207.1053
23;2019;2;48;9;1;1;01;1;;S;;;;;;;;;;;;;;;;;;;;;3;219.569
23;2019;2;48;9;1;1;10;1;2;N;N;4;1;1;2;N;;;;;;;1;02;9;09;4;1;5;37;1;201.4581
23;2019;2;48;9;6;1;09;1;3;N;N;4;1;;;N;;;;;;;4;04;3;10;2;;;;2;259.3921
23;2019;2;48;9;6;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;218.974
24;2019;2;20;9;6;1;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;8;02;4;2;1;37;2;135.9565
24;2019;2;20;9;1;1;11;1;1;N;N;4;1;1;2;N;;;;;;;1;02;9;02;4;2;1;40;1;154.3862
25;2019;2;48;1;6;2;18;1;1;N;N;4;4;;;N;;;;;;;4;07;9;10;4;2;;;1;174.7209
26;2019;2;20;9;1;2;15;1;1;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;134.2106
27;2019;2;48;9;1;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;3;08;4;2;;;1;169.4866
28;2019;2;20;9;1;3;12;1;1;N;N;4;3;1;2;N;;;;;;;1;02;8;04;4;2;1;40;1;165.6619
28;2019;2;20;9;1;1;05;1;3;N;N;4;3;1;2;N;;;;;;;1;02;2;05;4;2;5;40;3;124.5674
28;2019;2;20;9;6;1;12;1;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;185.4712
28;2019;2;20;9;1;1;06;1;3;N;N;4;3;1;2;N;;;;;;;1;02;4;04;4;2;1;40;3;244.5139
29;2019;2;48;9;6;2;16;1;1;N;N;4;1;;;N;;;;;;;4;04;4;08;4;2;;;1;187.7174
30;2019;2;48;1;6;2;15;1;1;N;N;2;1;;;N;;;;;;;4;04;9;10;4;2;;;1;167.951
31;2019;2;48;9;6;1;11;1;3;N;S;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;40;2;180.7202
31;2019;2;48;9;1;2;11;1;1;N;N;4;1;;;S;6;2;S;01;2;S;2;05;7;09;4;2;;;1;260.5932
32;2019;2;48;9;1;1;13;1;2;N;N;4;1;1;2;N;;;;;;;1;02;1;04;2;;;40;1;215.866
32;2019;2;48;9;1;1;06;1;3;N;N;4;2;1;2;N;;;;;;;1;02;8;02;4;2;5;32;3;233.4397
32;2019;2;48;9;6;1;12;1;1;N;N;4;1;1;2;N;;;;;;;1;02;1;04;5;;;40;2;211.7093
33;2019;2;20;9;6;3;10;2;2;N;N;4;1;2;2;N;;;;;;;1;02;2;09;4;2;1;25;4;134.7252
33;2019;2;20;9;6;2;17;1;1;N;N;4;1;;;N;;;;;;;4;04;9;02;4;2;;;1;190.6955
34;2019;2;48;1;6;1;11;1;1;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;2;223.2662
34;2019;2;48;1;1;1;12;1;2;N;N;4;2;1;2;N;;;;;;;1;02;4;04;4;2;1;40;1;211.4269
34;2019;2;48;1;6;1;05;1;3;N;S;4;3;;;N;;;;;;;4;07;5;04;4;2;;;3;306.2787
34;2019;2;48;1;6;1;06;1;3;N;N;4;3;1;2;N;;;;;;;1;02;7;10;4;2;1;40;3;306.2787
35;2019;2;01;2;6;2;15;1;2;N;N;2;1;2;2;N;;;;;;;1;02;5;04;4;2;1;20;1;148.3282
